,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
0,Aj-01-0095_105515.0_118785.0,C4,#000000,o,20,0.6,5.43,8.88,1.2,0.2,0,13.5,0,20.07,6.26,5.3
1,Aj-11-0201_98171.0_117716.0,C4,#000000,o,20,0.6,6.11,32.29,0.45,1.3,0,30.3,0,2.42,4.13,11
2,Pe-02-0007_102459.06_106724.35,C4,#000000,o,20,0.6,5.69,0.64,1.87,6.81,0,15,0,17.17,10.83,4
3,Pz-01-0022_105349.3_116984.8,C4,#000000,o,20,0.6,5.68,0.65,0.41,0.86,0,6,0,32.73,0.78,4
4,Pz-01-0023_105342.96_117147.98,C3,#000000,o,20,0.6,5.53,51.78,0.84,0.14,0,57,0,21.53,25.12,396
5,Pz-01-0025_105579.63_116712.62,C3,#000000,o,20,0.6,5.87,54.46,0.85,0.16,0,42.2,0,24.79,22.05,175
6,Pz-01-0026_104553.4_122965.68,C4,#000000,o,20,0.6,6.93,3.29,1.12,0.63,0,24.3,0,5.14,15.91,26
7,Pz-01-0031_104199.9_120435.63,C1,#000000,o,20,0.6,6.74,14.03,2.31,0.46,0,78.7,0,3.28,0.56,4
8,Pz-01-0055_104969.0_115746.0,C4,#000000,o,20,0.6,6.76,3.08,0.42,0.47,0,5.7,0,4.24,2.76,28
9,Pz-01-0058_105705.49_116704.29,C4,#000000,o,20,0.6,6.09,1.47,0.41,0.91,0,17.3,0,1.55,0.53,4
10,Pz-01-0069_104551.68_118929.67,C4,#000000,o,20,0.6,6.68,9.07,1.08,0.42,0,42.4,0,0.74,6.46,4
11,Pz-01-0076_104973.09_123401.11,C4,#000000,o,20,0.6,6.28,2.36,0.66,1.39,0,25.2,0,1.22,2.93,16
12,Pz-01-0089_105936.3_117216.75,C4,#000000,o,20,0.6,6.28,12.25,0.66,0.36,0,37.8,0,2.04,1.28,13
13,Pz-01-0104_105015.62_124160.57,C4,#000000,o,20,0.6,6.15,1.85,0.41,3.51,0,10.1,0,1.99,0.61,25
14,Pz-11-0011_102970.21_116231.28,C2,#000000,o,20,0.6,7.81,4.28,1.89,0.2,0,108,0,1.99,1.12,19
15,Pz-11-0012_102927.3_116022.84,C1,#000000,o,20,0.6,6.83,4.7,1.87,0.26,0,114,0,1.11,0.5,4
16,Pz-11-0026_99293.92_112692.34,C2,#000000,o,20,0.6,6.52,17.08,2.18,0.24,0,79.8,0,12.21,0.87,22
17,Pz-11-0028_103759.21_119568.91,C1,#000000,o,20,0.6,6.81,4.75,0.73,0.44,0,52.3,0,1.88,0.5,4
18,Pz-11-0045_103831.82_120095.24,C2,#000000,o,20,0.6,7.02,21.3,11.42,0.33,0,65.6,0,1.01,1.29,32
19,Pz-11-0047_121519.17_121519.17,C1,#000000,o,20,0.6,6.86,2.23,0.5,0.36,0,55.8,0,4.82,0.57,6
20,Pz-11-0051_104019.79_121424.26,C1,#000000,o,20,0.6,7.13,17.18,1.85,0.39,0,70.9,0,9.57,0.5,4
21,Pz-11-0052_103584.24_121323.66,C1,#000000,o,20,0.6,6.28,5.57,2.28,0.44,0,96.9,0,17.54,0.5,4
22,Pz-11-0080_103703.21_121530.18,C1,#000000,o,20,0.6,6.93,3.46,1.82,0.26,0,92.6,0,4.28,0.5,4
23,Pz-11-0096_102773.28_120713.05,C1,#000000,o,20,0.6,6.81,5.96,2.01,0.19,0,109,0,9.74,0.49,6
24,Pz-11-0108_103670.77_119736.72,C1,#000000,o,20,0.6,6.82,6.93,1.04,0.47,0,53.9,0,3.2,0.5,4
25,Pz-11-0112_104359.94_123695.19,C4,#000000,o,20,0.6,6.46,3.38,1.47,0.73,0,32.9,0,1.34,1.24,6.5
26,Pz-11-0140_103986.78_120875.89,C1,#000000,o,20,0.6,6.82,13.28,1.77,0.28,0,68.8,0,2.87,0.82,5
27,Pz-11-0143_98872.22_112368.4,C1,#000000,o,20,0.6,6.94,35.63,1.8,0.13,0,119,0,11.89,0.61,4
28,Pz-11-0144_103630.56_120726.87,C1,#000000,o,20,0.6,7.96,3.36,1.05,0.42,0,47.5,0,1.03,0.51,6
29,Pz-11-0147_103454.38_119385.79,C2,#000000,o,20,0.6,7.4,13.44,1.64,0.28,0,98.1,0,9.59,11.4,8.7
30,Pz-11-0195_104032.7_121418.38,C1,#000000,o,20,0.6,7.38,12.82,2.59,0.08,0,104,0,6.41,0.5,4
31,Pz-11-0214_103775.97_120621.67,C2,#000000,o,20,0.6,7.64,4.09,1.45,0.05,0,185,0,4.86,0.72,15
32,Pz-11-0217_103545.02_119411.03,C1,#000000,o,20,0.6,6.21,9.2,3.71,0.35,0,183,0,1.12,0.62,4
33,Pz-11-0221_104446.13_125089.26,C2,#000000,o,20,0.6,7.16,22.75,1.37,0.14,0,66.9,0,12.64,1.25,17.5
34,Pz-11-0222_103492.18_125358.13,C2,#000000,o,20,0.6,6.51,34.58,10.68,0.37,0,430,0,200,0.5,44
35,Pz-13-0009_98310.0_100587.0,C2,#000000,o,20,0.6,5.93,5.34,2.15,0.3,0,41.8,0,18.07,0.5,13
