Sample,HCO3,Ca,Mg,K,Na,Cl,SO4,Cluster
Aj-01-0095_105515.0_118785.0,13.5,8.88,1.2,0,0.2,20.07,6.26,1
Aj-11-0201_98171.0_117716.0,30.3,32.29,0.45,0,1.3,2.42,4.13,1
Pe-02-0007_102459.06_106724.35,15.0,0.64,1.87,0,6.81,17.17,10.83,1
Pz-01-0022_105349.3_116984.8,6.0,0.65,0.41,0,0.86,32.73,0.78,1
Pz-01-0023_105342.96_117147.98,57.0,51.78,0.84,0,0.14,21.53,25.12,1
Pz-01-0025_105579.63_116712.62,42.2,54.46,0.85,0,0.16,24.79,22.05,1
Pz-01-0026_104553.4_122965.68,24.3,3.29,1.12,0,0.63,5.14,15.91,1
Pz-01-0031_104199.9_120435.63,78.7,14.03,2.31,0,0.46,3.28,0.56,1
Pz-01-0055_104969.0_115746.0,5.7,3.08,0.42,0,0.47,4.24,2.76,1
Pz-01-0058_105705.49_116704.29,17.3,1.47,0.41,0,0.91,1.55,0.53,1
Pz-01-0069_104551.68_118929.67,42.4,9.07,1.08,0,0.42,0.74,6.46,1
Pz-01-0076_104973.09_123401.11,25.2,2.36,0.66,0,1.39,1.22,2.93,1
Pz-01-0089_105936.3_117216.75,37.8,12.25,0.66,0,0.36,2.04,1.28,1
Pz-01-0104_105015.62_124160.57,10.1,1.85,0.41,0,3.51,1.99,0.61,1
Pz-11-0011_102970.21_116231.28,108.0,4.28,1.89,0,0.2,1.99,1.12,1
Pz-11-0012_102927.3_116022.84,114.0,4.7,1.87,0,0.26,1.11,0.5,1
Pz-11-0026_99293.92_112692.34,79.8,17.08,2.18,0,0.24,12.21,0.87,1
Pz-11-0028_103759.21_119568.91,52.3,4.75,0.73,0,0.44,1.88,0.5,1
Pz-11-0045_103831.82_120095.24,65.6,21.3,11.42,0,0.33,1.01,1.29,1
Pz-11-0047_121519.17_121519.17,55.8,2.23,0.5,0,0.36,4.82,0.57,1
Pz-11-0051_104019.79_121424.26,70.9,17.18,1.85,0,0.39,9.57,0.5,1
Pz-11-0052_103584.24_121323.66,96.9,5.57,2.28,0,0.44,17.54,0.5,1
Pz-11-0080_103703.21_121530.18,92.6,3.46,1.82,0,0.26,4.28,0.5,1
Pz-11-0096_102773.28_120713.05,109.0,5.96,2.01,0,0.19,9.74,0.49,1
Pz-11-0108_103670.77_119736.72,53.9,6.93,1.04,0,0.47,3.2,0.5,1
Pz-11-0112_104359.94_123695.19,32.9,3.38,1.47,0,0.73,1.34,1.24,1
Pz-11-0140_103986.78_120875.89,68.8,13.28,1.77,0,0.28,2.87,0.82,1
Pz-11-0143_98872.22_112368.4,119.0,35.63,1.8,0,0.13,11.89,0.61,1
Pz-11-0144_103630.56_120726.87,47.5,3.36,1.05,0,0.42,1.03,0.51,1
Pz-11-0147_103454.38_119385.79,98.1,13.44,1.64,0,0.28,9.59,11.4,1
Pz-11-0195_104032.7_121418.38,104.0,12.82,2.59,0,0.08,6.41,0.5,1
Pz-11-0214_103775.97_120621.67,185.0,4.09,1.45,0,0.05,4.86,0.72,1
Pz-11-0217_103545.02_119411.03,183.0,9.2,3.71,0,0.35,1.12,0.62,1
Pz-11-0221_104446.13_125089.26,66.9,22.75,1.37,0,0.14,12.64,1.25,1
Pz-11-0222_103492.18_125358.13,430.0,34.58,10.68,0,0.37,200.0,0.5,1
Pz-13-0009_98310.0_100587.0,41.8,5.34,2.15,0,0.3,18.07,0.5,1
